Time step,Max. Reward,Max. Mismatch Reward
100,4.175,3.788
200,4.175,4.571
300,4.175,4.571
400,4.175,4.571
500,4.175,4.571
600,4.417,4.571
700,4.417,4.571
800,4.417,4.571
900,4.417,4.571
1000,4.417,4.571
1100,6.258,5.31
1200,6.258,5.31
1300,6.258,5.31
1400,6.258,5.31
1500,6.258,5.31
1600,6.258,5.31
1700,6.258,5.31
1800,6.258,5.31
1900,6.258,5.31
2000,6.258,5.31
2100,6.258,5.31
2200,6.258,5.31
2300,6.258,5.31
2400,6.258,5.31
2500,6.258,5.31
2600,6.258,5.31
2700,6.258,5.31
2800,6.258,5.31
2900,6.258,5.455
3000,6.258,5.455
3100,6.258,5.455
3200,6.258,5.455
3300,6.258,5.455
3400,6.258,5.455
3500,6.258,5.455
3600,6.258,5.455
3700,6.258,5.455
3800,6.258,5.455
3900,6.258,5.455
4000,6.258,5.455
4100,6.258,5.455
4200,6.258,5.455
4300,6.258,5.455
4400,6.258,5.455
4500,6.258,5.455
4600,6.258,5.455
4700,6.258,5.455
4800,6.258,5.455
4900,6.258,5.455
5000,6.661,6.953
5100,6.661,6.953
5200,7.059,6.953
5300,7.059,6.953
5400,7.059,6.953
5500,7.059,6.953
5600,7.059,6.953
5700,7.059,6.953
5800,7.059,6.953
5900,7.059,6.953
6000,7.059,6.953
6100,7.059,6.953
6200,7.059,6.953
6300,7.059,6.953
6400,7.059,6.953
6500,7.059,6.953
6600,7.059,6.953
6700,7.059,6.953
6800,7.059,6.953
6900,7.059,6.953
7000,7.059,6.953
7100,7.059,6.953
7200,7.059,6.953
7300,7.059,6.953
7400,7.059,6.953
7500,7.059,6.953
7600,7.059,6.953
7700,7.059,6.953
7800,7.059,6.953
7900,7.059,6.953
8000,7.059,6.953
8100,7.059,6.953
8200,7.059,6.953
8300,7.059,6.953
8400,7.059,6.953
8500,7.059,6.953
8600,7.059,6.953
8700,7.059,6.953
8800,7.059,6.953
8900,7.059,6.953
9000,7.059,6.953
9100,7.059,6.953
9200,7.059,6.953
9300,7.059,6.953
9400,7.059,6.953
9500,7.059,6.953
9600,7.059,6.953
9700,7.059,6.953
9800,7.059,6.953
9900,7.059,6.953
10000,7.059,6.953
10100,7.059,6.953
10200,7.059,6.953
10300,7.059,6.953
10400,7.41,6.953
10500,7.41,6.953
10600,7.41,6.953
10700,7.41,6.953
10800,7.41,6.953
10900,7.41,6.953
11000,7.41,6.953
11100,7.41,6.953
11200,7.41,6.953
11300,7.41,6.953
11400,7.41,6.953
11500,7.41,6.953
11600,7.41,6.953
11700,7.41,6.953
11800,7.41,6.953
11900,7.41,6.953
12000,7.41,6.953
12100,7.41,6.953
12200,7.41,6.953
12300,7.41,6.953
12400,7.41,6.953
12500,7.41,6.953
12600,7.41,6.953
12700,7.41,6.953
12800,7.41,6.953
12900,7.41,6.953
13000,7.41,6.953
13100,7.41,6.953
13200,7.41,6.953
13300,7.41,6.953
13400,7.41,6.953
13500,7.41,6.953
13600,7.41,6.953
13700,7.41,6.953
13800,7.41,6.953
13900,7.41,6.953
14000,7.41,6.953
14100,7.41,6.953
14200,7.41,6.953
14300,7.41,6.953
14400,7.41,6.953
14500,7.41,6.953
14600,7.41,6.953
14700,7.41,6.953
14800,7.41,6.953
14900,7.41,6.953
15000,7.41,6.953
15100,7.41,6.953
15200,7.41,6.953
15300,7.41,6.953
15400,7.41,6.953
15500,7.41,6.953
15600,7.41,6.953
15700,7.41,6.953
15800,7.41,6.953
15900,7.41,6.953
16000,7.41,6.953
16100,7.41,6.953
16200,7.41,6.953
16300,7.41,6.953
16400,7.41,6.953
16500,7.41,6.953
16600,7.41,6.953
16700,7.41,6.953
16800,7.41,6.953
16900,7.41,6.953
17000,7.41,6.953
17100,7.41,6.953
17200,7.41,6.953
17300,7.41,6.953
17400,7.41,6.953
17500,7.41,6.953
