Time step,Max. Reward,Max. Mismatch Reward
100,4.175,3.788
200,4.175,4.452
300,4.175,4.452
400,4.175,4.452
500,4.175,4.452
600,4.221,4.452
700,4.221,4.452
800,4.221,4.452
900,4.281,4.452
1000,4.281,4.452
1100,6.885,5.17
1200,6.885,5.17
1300,6.885,5.17
1400,6.885,5.17
1500,6.885,5.17
1600,6.885,5.17
1700,6.885,5.17
1800,6.885,5.17
1900,6.885,5.17
2000,6.885,5.17
2100,6.885,5.17
2200,6.885,5.17
2300,6.885,5.17
2400,6.885,5.17
2500,6.885,5.17
2600,6.885,5.17
2700,6.885,5.17
2800,6.885,5.17
2900,6.885,5.489
3000,6.885,5.489
3100,6.885,5.489
3200,6.885,5.489
3300,6.885,5.489
3400,6.885,5.489
3500,6.885,5.489
3600,6.885,5.533
3700,6.885,5.533
3800,6.885,5.533
3900,6.885,5.533
4000,6.885,5.533
4100,6.885,5.533
4200,6.885,5.533
4300,6.885,5.533
4400,6.885,5.533
4500,6.885,5.533
4600,7.082,5.533
4700,7.082,5.533
4800,7.082,5.533
4900,7.082,5.533
5000,7.082,5.533
5100,7.082,5.533
5200,7.082,5.533
5300,7.082,5.533
5400,7.082,5.533
5500,7.082,5.533
5600,7.082,5.533
5700,7.082,5.533
5800,7.082,5.533
5900,7.082,5.533
6000,7.082,5.533
6100,7.082,5.533
6200,7.082,5.533
6300,7.082,5.533
6400,7.082,5.533
6500,7.082,5.533
6600,7.082,5.533
6700,7.082,5.533
6800,7.082,5.533
6900,7.082,6.201
7000,7.082,6.201
7100,7.082,6.201
7200,7.082,6.201
7300,7.082,6.201
7400,7.082,6.201
7500,7.082,6.201
7600,7.082,6.201
7700,7.082,6.201
7800,7.082,6.201
7900,7.082,6.201
8000,7.082,6.201
8100,7.082,6.201
8200,7.082,6.201
8300,7.082,6.201
8400,7.082,6.201
8500,7.082,6.201
8600,7.082,6.201
8700,7.082,6.201
8800,7.082,6.201
8900,7.082,6.201
9000,7.082,6.201
9100,7.082,6.201
9200,7.082,6.201
9300,7.082,6.201
9400,7.082,6.201
9500,7.082,6.201
9600,7.082,6.201
9700,7.082,6.201
9800,7.082,6.201
9900,7.082,6.201
10000,7.082,6.201
10100,7.082,6.201
10200,7.082,6.201
10300,7.082,6.201
10400,7.082,6.201
10500,7.082,6.201
10600,7.082,6.201
10700,7.082,6.201
10800,7.082,6.201
10900,7.082,6.201
11000,7.082,6.201
11100,7.082,6.201
11200,7.082,6.201
11300,7.082,6.201
11400,7.082,6.201
11500,7.082,6.201
11600,7.082,6.201
11700,7.082,6.201
11800,7.082,6.201
11900,7.082,6.201
12000,7.082,6.201
12100,7.082,6.201
12200,7.082,6.201
12300,7.082,6.201
12400,7.082,6.201
12500,7.082,6.201
12600,7.082,6.201
12700,7.082,6.201
12800,7.082,6.201
12900,7.082,6.201
13000,7.082,6.201
13100,7.082,6.201
13200,7.082,6.201
13300,7.082,6.201
13400,7.082,6.201
13500,7.082,6.201
13600,7.082,6.201
13700,7.082,6.201
13800,7.082,6.201
13900,7.082,6.201
14000,7.082,6.201
14100,7.082,6.201
14200,7.082,6.201
14300,7.082,6.201
14400,7.082,6.201
14500,7.082,6.201
14600,7.082,6.201
14700,7.082,6.201
14800,7.082,6.201
14900,7.082,6.201
15000,7.082,6.201
15100,7.082,6.201
15200,7.082,6.201
15300,7.082,6.201
15400,7.082,6.201
15500,7.082,6.201
15600,7.082,6.201
15700,7.082,6.201
15800,7.082,6.201
15900,7.082,6.201
16000,7.082,6.201
16100,7.082,6.201
16200,7.082,6.201
16300,7.082,6.201
16400,7.082,6.201
16500,7.082,6.201
16600,7.082,6.201
16700,7.082,6.201
16800,7.082,6.201
16900,7.082,6.201
17000,7.082,6.201
17100,7.082,6.201
17200,7.082,6.201
17300,7.082,6.201
17400,7.082,6.201
17500,7.082,6.201
17600,7.082,6.201
17700,7.082,6.201
17800,7.082,6.201
17900,7.082,6.201
18000,7.082,6.201
18100,7.082,6.201
18200,7.082,6.201
18300,7.082,6.201
18400,7.082,6.201
18500,7.082,6.201
18600,7.082,6.201
18700,7.082,6.201
18800,7.082,6.201
18900,7.082,6.201
19000,7.082,6.201
19100,7.082,6.201
19200,7.082,6.342
19300,7.082,6.342
19400,7.082,6.342
19500,7.082,6.342
19600,7.082,6.342
19700,7.082,6.342
19800,7.082,6.342
19900,7.082,6.342
20000,7.082,6.342
