Time step,Max. Min-Max Reward
100,-0.983
200,-0.983
300,-0.983
400,-0.983
500,-0.983
600,-0.983
700,-0.983
800,-0.983
900,-0.983
1000,-0.983
1100,-0.983
1200,-0.983
1300,-0.983
1400,-0.983
1500,-0.983
1600,-0.983
1700,-0.983
1800,-0.983
1900,-0.983
2000,-0.983
2100,-0.983
2200,-0.983
2300,-0.983
2400,-0.983
2500,-0.983
2600,-0.983
2700,-0.983
2800,-0.983
2900,-0.983
3000,-0.983
3100,-0.983
3200,-0.983
3300,-0.983
3400,-0.983
3500,-0.983
3600,-0.983
3700,-0.983
3800,-0.983
3900,-0.983
4000,-0.983
4100,-0.983
4200,-0.983
4300,-0.983
4400,-0.983
4500,-0.983
4600,-0.983
4700,-0.983
4800,-0.983
4900,-0.983
5000,-0.983
5100,-0.983
5200,-0.983
5300,-0.983
5400,-0.983
5500,-0.983
5600,-0.983
5700,-0.983
5800,-0.983
5900,-0.983
6000,-0.983
6100,-0.983
6200,-0.983
6300,-0.983
6400,-0.983
6500,-0.983
6600,-0.983
6700,-0.983
6800,-0.983
6900,-0.983
7000,-0.983
7100,-0.983
7200,-0.983
7300,-0.983
7400,-0.983
7500,-0.983
7600,-0.983
7700,-0.983
7800,-0.983
7900,-0.983
8000,-0.983
8100,-0.983
8200,-0.983
8300,-0.983
8400,-0.983
8500,-0.983
8600,-0.983
8700,-0.983
8800,-0.983
8900,-0.983
9000,-0.983
9100,-0.983
9200,-0.983
9300,-0.983
9400,-0.983
9500,-0.983
9600,-0.983
9700,-0.983
9800,-0.983
9900,-0.983
10000,-0.983
10100,-0.983
10200,-0.983
10300,-0.983
10400,-0.983
10500,-0.983
10600,-0.983
10700,-0.983
10800,-0.983
10900,-0.983
11000,-0.983
11100,-0.983
11200,-0.983
11300,-0.983
11400,-0.983
11500,-0.983
11600,-0.983
11700,-0.983
11800,-0.983
11900,-0.983
12000,-0.983
12100,-0.983
12200,-0.983
12300,-0.983
12400,-0.983
12500,-0.983
12600,-0.983
12700,-0.983
12800,-0.983
12900,-0.983
13000,-0.983
13100,-0.983
13200,-0.983
13300,-0.983
13400,-0.983
13500,-0.983
13600,-0.983
13700,-0.983
13800,-0.983
13900,-0.983
14000,-0.983
14100,-0.983
14200,-0.983
14300,-0.983
14400,-0.983
14500,-0.983
14600,-0.983
14700,-0.983
14800,-0.983
14900,-0.983
15000,-0.983
15100,-0.983
15200,-0.983
15300,-0.983
15400,-0.983
15500,-0.983
15600,-0.983
15700,-0.983
15800,-0.983
15900,-0.983
16000,-0.983
16100,-0.983
16200,-0.983
16300,-0.983
16400,-0.983
16500,-0.983
16600,-0.983
16700,-0.983
16800,-0.983
16900,-0.983
17000,-0.983
17100,-0.983
17200,-0.983
17300,-0.983
17400,-0.983
17500,-0.983
17600,-0.983
17700,-0.983
17800,-0.983
17900,-0.983
18000,-0.983
18100,-0.983
18200,-0.983
18300,-0.983
18400,-0.983
18500,-0.983
18600,-0.983
18700,-0.983
18800,-0.983
18900,-0.983
19000,-0.983
19100,-0.983
19200,-0.983
19300,-0.983
19400,-0.983
19500,-0.983
19600,-0.983
19700,-0.983
19800,-0.983
19900,-0.983
20000,-0.983
20100,-0.983
20200,-0.983
20300,-0.983
20400,-0.983
20500,-0.983
20600,-0.983
20700,-0.983
20800,-0.983
20900,-0.983
21000,-0.983
21100,-0.983
21200,-0.983
21300,-0.983
21400,-0.983
21500,-0.983
21600,-0.983
21700,-0.983
21800,-0.983
21900,-0.983
22000,-0.983
22100,-0.983
22200,-0.983
22300,-0.983
22400,-0.983
22500,-0.983
22600,-0.983
22700,-0.983
22800,-0.983
22900,-0.983
23000,-0.983
23100,-0.983
23200,-0.983
23300,-0.983
23400,-0.983
23500,-0.983
23600,-0.983
23700,-0.983
23800,-0.983
23900,-0.983
24000,-0.983
24100,-0.983
24200,-0.983
24300,-0.983
24400,-0.983
24500,-0.983
24600,-0.983
24700,-0.983
24800,-0.983
24900,-0.983
25000,-0.983
25100,-0.983
25200,-0.983
25300,-0.983
25400,-0.983
25500,-0.983
25600,-0.983
25700,-0.983
25800,-0.983
25900,-0.983
26000,-0.983
26100,-0.983
26200,-0.983
26300,-0.983
26400,-0.983
26500,-0.983
26600,-0.983
26700,-0.983
26800,-0.983
26900,-0.983
27000,-0.983
27100,-0.983
27200,-0.983
27300,-0.983
27400,-0.983
27500,-0.983
27600,-0.983
27700,-0.983
27800,-0.983
27900,-0.983
28000,-0.983
28100,-0.983
28200,-0.983
28300,-0.983
28400,-0.983
28500,-0.983
28600,-0.983
28700,-0.983
28800,-0.983
28900,-0.983
29000,-0.983
29100,-0.983
29200,-0.983
29300,-0.983
29400,-0.983
29500,-0.983
29600,-0.983
29700,-0.983
29800,-0.983
29900,-0.983
30000,-0.983
30100,-0.983
30200,-0.983
30300,-0.983
30400,-0.983
30500,-0.983
30600,-0.983
30700,-0.983
30800,-0.983
30900,-0.983
31000,-0.983
31100,-0.983
31200,-0.983
31300,-0.983
31400,-0.983
31500,-0.983
31600,-0.983
31700,-0.983
31800,-0.983
31900,-0.983
32000,-0.983
32100,-0.983
32200,-0.983
32300,-0.983
32400,-0.983
32500,-0.983
32600,-0.983
32700,-0.983
32800,-0.983
32900,-0.983
33000,-0.983
33100,-0.983
33200,-0.983
33300,-0.983
33400,-0.983
33500,-0.983
33600,-0.983
33700,-0.983
33800,-0.983
33900,-0.983
34000,-0.983
34100,-0.983
34200,-0.983
34300,-0.983
34400,-0.983
34500,-0.983
34600,-0.983
34700,-0.983
34800,-0.983
34900,-0.983
35000,-0.983
35100,-0.983
35200,-0.983
35300,-0.983
35400,-0.983
35500,-0.983
35600,-0.983
35700,-0.983
35800,-0.983
35900,-0.983
36000,-0.983
36100,-0.983
36200,-0.983
36300,-0.983
36400,-0.983
36500,-0.983
36600,-0.983
36700,-0.983
36800,-0.983
36900,-0.983
37000,-0.983
37100,-0.983
37200,-0.983
37300,-0.983
37400,-0.983
37500,-0.983
37600,-0.983
37700,-0.983
37800,-0.983
37900,-0.983
38000,-0.983
38100,-0.983
38200,-0.983
38300,-0.983
38400,-0.983
38500,-0.983
38600,-0.983
38700,-0.983
38800,-0.983
38900,-0.983
39000,-0.983
39100,-0.983
39200,-0.983
39300,-0.983
39400,-0.983
39500,-0.983
39600,-0.983
39700,-0.983
39800,-0.983
39900,-0.983
40000,-0.983
40100,-0.983
40200,-0.983
40300,-0.983
40400,-0.983
40500,-0.983
40600,-0.983
40700,-0.983
40800,-0.983
40900,-0.983
41000,-0.983
41100,-0.983
41200,-0.983
41300,-0.983
41400,-0.983
41500,-0.983
41600,-0.983
41700,-0.983
41800,-0.983
41900,-0.983
42000,-0.983
42100,-0.983
42200,-0.983
42300,-0.983
42400,-0.983
42500,-0.983
42600,-0.983
42700,-0.983
42800,-0.983
42900,-0.983
43000,-0.983
43100,-0.983
43200,-0.983
43300,-0.983
43400,-0.983
43500,-0.983
43600,-0.983
43700,-0.983
43800,-0.983
43900,-0.983
44000,-0.983
44100,-0.983
44200,-0.983
44300,-0.983
44400,-0.983
44500,-0.983
44600,-0.983
44700,-0.983
44800,-0.983
44900,-0.983
45000,-0.983
45100,-0.983
45200,-0.983
45300,-0.983
45400,-0.983
45500,-0.983
45600,-0.983
45700,-0.983
45800,-0.983
45900,-0.983
46000,-0.983
46100,-0.983
46200,-0.983
46300,-0.983
46400,-0.983
46500,-0.983
46600,-0.983
46700,-0.983
46800,-0.983
46900,-0.983
47000,-0.983
47100,-0.983
47200,-0.983
47300,-0.983
47400,-0.983
47500,-0.983
47600,-0.983
47700,-0.983
47800,-0.983
47900,-0.983
48000,-0.983
48100,-0.983
48200,-0.983
48300,-0.983
48400,-0.983
48500,-0.983
48600,-0.983
48700,-0.983
48800,-0.983
48900,-0.983
49000,-0.983
49100,-0.983
49200,-0.983
49300,-0.983
49400,-0.983
49500,-0.983
49600,-0.983
49700,-0.983
49800,-0.983
49900,-0.983
50000,-0.983
50100,-0.983
50200,-0.983
50300,-0.983
50400,-0.983
50500,-0.983
50600,-0.983
50700,-0.983
50800,-0.983
50900,-0.983
51000,-0.983
51100,-0.983
51200,-0.983
51300,-0.983
51400,-0.983
51500,-0.983
51600,-0.983
51700,-0.983
51800,-0.983
51900,-0.983
52000,-0.983
52100,-0.983
52200,-0.983
52300,-0.983
52400,-0.983
52500,-0.983
52600,-0.983
52700,-0.983
52800,-0.983
52900,-0.983
53000,-0.983
53100,-0.983
53200,-0.983
53300,-0.983
53400,-0.983
53500,-0.983
53600,-0.983
53700,-0.983
53800,-0.983
53900,-0.983
54000,-0.983
54100,-0.983
54200,-0.983
54300,-0.983
54400,-0.983
54500,-0.983
54600,-0.983
54700,-0.983
54800,-0.983
54900,-0.983
55000,-0.983
55100,-0.983
55200,-0.983
55300,-0.983
55400,-0.983
55500,-0.983
55600,-0.983
55700,-0.983
55800,-0.983
55900,-0.983
56000,-0.983
56100,-0.983
56200,-0.983
56300,-0.983
56400,-0.983
56500,-0.983
56600,-0.983
56700,-0.983
56800,-0.983
56900,-0.983
57000,-0.983
57100,-0.983
57200,-0.983
57300,-0.983
57400,-0.983
57500,-0.983
57600,-0.983
57700,-0.983
57800,-0.983
57900,-0.983
58000,-0.983
58100,-0.983
58200,-0.983
58300,-0.983
58400,-0.983
58500,-0.983
58600,-0.983
58700,-0.983
58800,-0.983
58900,-0.983
59000,-0.983
59100,-0.983
59200,-0.983
59300,-0.983
59400,-0.983
59500,-0.983
59600,-0.983
59700,-0.983
59800,-0.983
59900,-0.983
60000,-0.983
60100,-0.983
60200,-0.983
60300,-0.983
60400,-0.983
60500,-0.983
60600,-0.983
60700,-0.983
60800,-0.983
60900,-0.983
61000,-0.983
61100,-0.983
61200,-0.983
61300,-0.983
61400,-0.983
61500,-0.983
61600,-0.983
61700,-0.983
61800,-0.983
61900,-0.983
62000,-0.983
62100,-0.983
62200,-0.983
62300,-0.983
62400,-0.983
62500,-0.983
62600,-0.983
62700,-0.983
62800,-0.983
62900,-0.983
63000,-0.983
63100,-0.983
63200,-0.983
63300,-0.983
63400,-0.983
63500,-0.983
63600,-0.983
63700,-0.983
63800,-0.983
63900,-0.983
64000,-0.983
64100,-0.983
64200,-0.983
64300,-0.983
64400,-0.983
64500,-0.983
64600,-0.983
64700,-0.983
64800,-0.983
64900,-0.983
65000,-0.983
65100,-0.983
65200,-0.983
65300,-0.983
65400,-0.983
65500,-0.983
65600,-0.983
65700,-0.983
65800,-0.983
65900,-0.983
66000,-0.983
66100,-0.983
