Time step,Max. Reward,Max. Mismatch Reward
100,4.116,4.463
200,4.116,4.463
300,5.233,4.933
400,5.233,4.933
500,5.233,4.933
600,5.233,4.933
700,5.233,4.981
800,5.233,4.981
900,5.233,4.981
1000,5.233,4.981
1100,5.233,4.981
1200,5.278,4.981
1300,5.278,4.981
1400,5.278,5.159
1500,5.278,5.159
1600,5.278,5.159
1700,5.278,5.159
1800,5.278,5.159
1900,5.278,5.159
2000,5.278,5.159
2100,5.278,5.159
2200,5.278,5.159
2300,5.278,5.159
2400,5.278,5.289
2500,5.278,5.289
2600,5.638,5.289
2700,5.638,5.289
2800,5.638,5.289
2900,5.638,5.289
3000,5.638,6.091
3100,5.638,6.091
3200,5.638,6.091
3300,6.157,6.091
3400,6.157,6.285
3500,6.157,6.285
3600,6.157,6.285
3700,6.157,6.285
3800,6.157,6.285
3900,6.157,6.285
4000,6.157,6.285
4100,6.157,6.285
4200,6.157,6.285
4300,6.157,6.285
4400,6.157,6.285
4500,6.157,6.285
4600,6.157,6.285
4700,6.157,6.285
4800,6.157,6.285
4900,6.157,6.285
5000,6.157,6.285
5100,6.157,6.285
5200,6.157,6.285
5300,6.157,6.663
5400,6.157,6.663
5500,6.157,6.663
5600,6.157,6.663
5700,6.157,6.663
5800,6.689,7.49
5900,6.689,7.49
6000,6.689,7.49
6100,8.388,7.49
6200,8.388,7.49
6300,8.388,7.49
6400,8.388,7.49
6500,8.388,7.49
6600,8.388,7.49
6700,8.388,8.298
6800,8.388,8.407
6900,8.388,8.407
7000,8.388,8.407
7100,8.388,8.407
7200,8.388,8.407
7300,8.388,8.407
7400,8.388,8.407
7500,8.388,8.407
7600,8.388,8.407
7700,8.388,8.407
7800,8.388,8.407
7900,8.388,8.407
8000,8.736,8.535
8100,8.736,8.589
8200,8.736,8.668
8300,8.736,8.668
8400,8.736,8.978
8500,8.736,8.978
8600,8.983,8.978
8700,8.983,8.978
8800,9.535,8.978
8900,9.535,8.978
9000,9.535,8.978
9100,9.634,8.978
9200,9.634,9.793
9300,9.634,9.793
9400,9.634,9.793
9500,9.634,9.793
9600,9.634,9.793
9700,10.011,9.793
9800,10.011,9.793
9900,10.011,9.793
10000,10.106,10.602
10100,10.106,10.602
10200,10.106,10.602
10300,10.106,10.602
10400,10.106,10.602
10500,10.106,10.602
10600,10.106,10.602
10700,10.106,10.602
10800,10.106,10.602
10900,10.106,10.602
11000,10.209,10.602
11100,10.209,10.602
11200,10.209,10.602
11300,10.209,10.602
11400,10.209,10.602
11500,10.209,10.602
11600,10.209,10.602
11700,10.209,10.602
11800,10.209,10.602
11900,10.209,10.602
12000,10.209,10.602
12100,10.209,10.602
12200,10.209,10.602
12300,10.209,10.602
12400,10.209,10.602
12500,10.209,10.602
12600,10.209,10.602
12700,10.209,10.602
12800,10.209,10.602
12900,10.209,10.602
13000,10.209,10.602
13100,10.209,10.602
13200,10.209,10.602
13300,10.209,10.602
13400,10.209,10.602
13500,10.209,10.602
13600,10.209,10.602
13700,10.209,10.602
13800,10.209,10.602
13900,10.285,10.602
14000,11.477,10.937
14100,11.477,10.937
14200,11.477,10.937
14300,11.477,10.937
14400,11.477,12.209
14500,11.477,12.209
14600,11.477,12.209
14700,11.477,12.209
14800,11.477,12.209
14900,11.477,12.209
15000,11.477,12.209
15100,11.477,13.088
15200,11.477,13.088
15300,11.477,13.088
15400,11.477,13.088
15500,11.477,13.088
15600,11.477,13.088
15700,11.477,13.088
15800,11.477,13.088
15900,11.477,13.088
16000,11.477,13.088
16100,11.477,13.088
16200,11.477,13.088
16300,11.477,13.088
16400,11.477,13.088
16500,11.477,13.088
16600,11.477,13.088
16700,11.543,13.088
16800,11.543,13.088
16900,11.543,13.088
17000,11.543,13.088
17100,11.543,13.088
17200,11.543,13.088
17300,11.543,13.088
17400,11.543,13.088
17500,11.543,13.088
17600,11.706,13.088
17700,11.706,13.088
17800,11.706,13.088
17900,11.706,13.088
18000,11.706,13.088
18100,11.706,13.088
18200,11.706,13.088
18300,11.706,13.088
18400,11.706,13.088
18500,11.861,13.088
18600,11.861,13.088
18700,11.861,13.088
18800,11.861,13.088
18900,12.205,13.088
19000,12.205,13.088
19100,12.205,13.088
19200,12.205,13.088
19300,12.205,13.088
19400,12.205,13.088
19500,12.205,13.088
19600,12.205,13.088
19700,12.205,13.088
19800,13.027,14.323
19900,13.027,14.323
20000,13.027,14.323
